aka_id,m_id,aka_title
1,1,Як вода для шоколаду
2,1,Como agua para chocolate
3,2,स्पाइडर-मैन: नो वे होम
4,3,ड्यून
5,3,Dune: Part One
6,4,डोंट लुक अप
7,5,Guantanamo Diary
8,6,Ahtapottan Öğrendiklerim
9,7,La Liga de la Justicia de Zack Snyder
10,8,Shang-Chi y la leyenda de los diez anillos
11,9,Free Guy. Tomando el control
12,10,ब्लैक विडो
13,11,द सुसाइड स्ववाड
14,12,Eternals
15,13,नो टाइम टू डाय
16,14,魔法满屋
17,15,वेनम: लेट देयर बी कार्नेज
18,16,द मेट्रिक्स रेसररेक्शन्स
19,17,नोबडी
20,18,Тоґо
21,19,Un lugar en silencio: Parte II
22,20,Cruella de Vil
23,21,Alerta roja
24,22,La guerra del mañana
25,23,घोस्टबस्टर्स: आफ्टरलाइफ़
26,24,गॉडज़िला vs. कौंग
27,25,餐廳失控夜
28,26,लुका
29,27,Justicia Implacable
30,28,El ejército de los muertos
31,29,मॉर्टल कॉमबैट
32,30,Thám Hiểm Rừng Xanh
33,31,कोडा
34,32,ओल्ड
35,33,El Último Duelo
36,34,El poder del perro
37,35,El callejón de las almas perdidas
38,36,Kẻ Du Mục
39,37,हाउस ऑफ़ गुची
40,38,Lời Từ Biệt
41,39,El misterio de Soho
42,40,द किंग्स मैन
43,41,Downton Abbey
44,42,Raya y el último dragón
45,43,Bóng Ma Doping
46,44,अवेंजर्स: एंडगेम
47,45,पैरासाइट
48,45,Gisaengchung
49,46,Once Upon a Time... in Hollywood
50,46,Once Upon a Time in... Hollywood
51,47,जोकर
52,48,फ़ास्ट एंड फ्यूरियस 9
53,49,Mary Lou
54,50,"Descuida, yo te cuido"
55,51,Merry-Go-Round
56,52,Entre navajas y secretos
57,53,Sói Lang Thang
58,53,WolfWalkers
59,54,The Conjuring: Deyyam Naa Cheta Cheyinchindi
60,55,La crónica francesa
61,55,"The French Dispatch of the Liberty, Kansas Evening Sun"
62,56,Fragmentado
63,57,Vincent Thương Mến
64,58,Ford v Ferrari
65,59,Untitled Dia de los Muertos Project
66,60,वंडर वुमन
67,61,Samudra Putrudu Aquaman
68,62,वेनम
69,63,थॉर: रैग्नारॉक
70,64,Star Wars: Episode VIII - The Last Jedi
71,64,Star Wars: Episode VIII - The Last Jedi
72,65,Star Wars: The Rise of Skywalker
73,65,Star Wars: Episode IX - The Rise of Skywalker
74,66,स्पाइडर मैन: स्पाइडर वर्स में
75,67,स्पाइडर-मैन: होमकमिंग
76,68,Spider-Man: Lejos de casa
77,68,Spider-Man: Far from Home
78,69,Ready Player One: comienza el juego
79,70,जॉन विक: चैप्टर 2
80,71,लोगन
81,72,It (Eso)
82,73,Guardianes de la Galaxia (vol. 2)
83,74,Green Book: Una amistad sin fronteras
84,75,¡Huye!
85,76,Dunkerque
86,77,डेडपूल 2
87,78,Capitana Marvel
88,79,"Bohemian Rhapsody, la historia de Freddie Mercury"
89,80,Acid Zoo
90,81,Khaufnak Bagh
91,82,"Baby, el aprendiz del crimen"
92,83,ए क्वाइट प्लेस
93,84,Морська змова
94,85,Thợ Săn Quái Vật: Ác Mộng Của Sói
95,86,King Richard: Huyền Thoại Nhà Williams
96,87,कसूरवार
97,88,मिशेल बनाम मशीनें
98,88,The Mitchells vs the Machines
99,89,Pequeños Secretos
100,90,Душевни свет
101,91,द जेंटलमेन
102,92,En El Barrio
103,93,Tình Yêu Chân Thật
104,94,Вони не постаріють
105,95,3 anuncios por un crimen
106,96,Nhóc Jojo
107,97,Midsommar. El terror no espera la noche
108,98,La forma del agua
109,99,El irlandés
110,100,Han Solo. Una historia de Star Wars
111,101,सालाज़ार की यलगार
112,102,शज़ैम!
113,103,मिशन: इम्पॉसिबल - तबाही
114,104,कौंग
115,105,किंग्समेन: द गोल्डन सर्कल
116,106,जस्टिस लीग
117,107,Jurassic World: Samrajya Patanam
118,108,Jumanji: En la selva
119,109,जॉन विक 3: पराबेल्लम
120,110,El legado del diablo
121,111,Bird Box. A ciegas
122,112,La bella y la bestia
123,113,El hombre hormiga y La avispa
124,114,Aniquilación
125,115,Nace una estrella
126,116,Imperdonable
127,117,El Camino: Una película de Breaking Bad
128,117,El Camino
129,118,The Platform
130,118,El hoyo
131,119,द ग्रीन नाइट
132,120,Hitman's Wife's Bodyguard
133,121,Người Đi Lễ
134,122,मैलिग्नैन्ट्
135,123,Diamantes en bruto
136,124,Out of the Fire
137,125,Historia de un matrimonio
138,126,Bộ Ba Quái Nhân
139,127,बर्ड्स ऑफ़ प्रे: एंड द फ़ैनटैन्युलस इमैनसीपेशन ऑफ़ वन हारली क्विन
140,127,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn
141,128,Muerte misteriosa
142,129,वॉर फॉर द प्लॅनेट ऑफ द एप्स
143,130,वंडर वुमन 1984
144,131,अस
145,132,Câu Chuyện Đồ Chơi 4
146,133,द लायन किंग
147,134,El gran showman
148,135,Rüzgârı Dizginleyen Çocuk
149,136,Asesinato en el expreso de Oriente
150,137,Hậu Chiến
151,138,Lady Bird: Tuổi Nổi Loạn
152,139,Jumanji: El siguiente nivel
153,140,इट चैप्टर टू
154,141,Los increíbles 2
155,142,Llámame por tu nombre
156,143,अलीटा: बेटल एंजेल
157,144,Animales fantásticos: Los crímenes de Grindelwald
158,145,Prometheus 2
159,146,Aladdín
160,147,La peor persona del mundo
161,147,Verdens verste menneske
162,148,Halloween Kills: La noche aún no termina
163,149,La calle del terror (Parte 1): 1994
164,150,"tick, tick... Boom!"
165,150,"tick, tick...BOOM!"
166,151,El faro
167,152,Ron: Chú Robot Khác Biệt
168,153,Mujercitas
169,154,Suitable Flesh
170,155,Tomb Raider: Las aventuras de Lara Croft
171,156,Duro de cuidar
172,157,La favorita
173,158,फास्ट एंड फ्यूरियस 8
174,159,Ocean's 8: Las estafadoras
175,160,¡Madre!
176,160,Mother!
177,161,Life. Vida inteligente
178,162,El Rey Arturo: La leyenda de la espada
179,163,"Yo, Tonya"
180,164,Noche de juegos
181,165,फ़ास्ट एंड फ्यूरियस: हॉब्स एंड शॉ
182,166,Godzilla 2: King of the Monsters
183,167,Black Klansman
184,168,El ejército de los ladrones
185,169,Untitled Thai Cave Rescue Project
186,170,Khát Vọng Đổi Đời
187,171,El padre
188,172,Enola Xolms
189,173,Hermosa Venganza
190,174,Boda sangrienta
191,175,Cuộc Đời Phi Thường Của Chú Chó Enzo
192,176,Amor sin barreras
193,177,Zombieland: Tiro de gracia
194,178,Doctor Sueño
195,179,14 قمّة: قاهر المستحيل
196,180,X-मॅन: डार्क फीनिक्स
197,180,X-Men: Dark Phoenix
198,181,Con Lợn
199,182,Valerian y la ciudad de los mil planetas
200,183,Upgrade: Máquina asesina
201,184,Terminator: Destino oculto
202,185,La momia
203,186,Megalodón
204,187,El sacrificio del ciervo sagrado
205,188,The Invisible Guest
206,188,Contratiempo
207,189,El justiciero 2
208,190,सिंग 2
209,191,Operación Red Sparrow
210,192,रैम्पेज: एक खतरनाक मुकाबला
211,193,Ralph Breaks the Internet
212,194,El primer hombre en la luna
213,195,Las horas más oscuras
214,196,Locamente millonarios
215,197,Apuesta maestra
216,198,Frozen II
217,199,बैवॉच
218,200,बैड ब्वॉयज़ फॉर लाइफ
